strategy,hypothesis_id,symbol,folder
unique_00786,H008,NG,strategies/H008/unique_00786
unique_00787,H008,NG,strategies/H008/unique_00787
unique_00788,H008,NG,strategies/H008/unique_00788
unique_00789,H009,NG,strategies/H009/unique_00789
unique_00790,H009,NG,strategies/H009/unique_00790
unique_00791,H009,NG,strategies/H009/unique_00791
unique_00792,H009,NG,strategies/H009/unique_00792
unique_00793,H009,NG,strategies/H009/unique_00793
unique_00794,H009,NG,strategies/H009/unique_00794
unique_00795,H009,NG,strategies/H009/unique_00795
unique_00796,H009,NG,strategies/H009/unique_00796
unique_00797,H010,NG,strategies/H010/unique_00797
unique_00798,H010,NG,strategies/H010/unique_00798
unique_00799,H010,NG,strategies/H010/unique_00799
unique_00800,H010,NG,strategies/H010/unique_00800
unique_00801,H011,NG,strategies/H011/unique_00801
unique_00802,H011,NG,strategies/H011/unique_00802
unique_00803,H011,NG,strategies/H011/unique_00803
unique_00804,H011,NG,strategies/H011/unique_00804
unique_00805,H011,NG,strategies/H011/unique_00805
unique_00806,H011,NG,strategies/H011/unique_00806
unique_00807,H011,NG,strategies/H011/unique_00807
unique_00808,H011,NG,strategies/H011/unique_00808
unique_00809,H011,NG,strategies/H011/unique_00809
unique_00810,H008,NKD,strategies/H008/unique_00810
unique_00811,H008,NKD,strategies/H008/unique_00811
unique_00812,H008,NKD,strategies/H008/unique_00812
unique_00813,H008,NKD,strategies/H008/unique_00813
unique_00814,H008,NKD,strategies/H008/unique_00814
unique_00815,H008,NKD,strategies/H008/unique_00815
unique_00816,H009,NKD,strategies/H009/unique_00816
unique_00817,H009,NKD,strategies/H009/unique_00817
unique_00818,H009,NKD,strategies/H009/unique_00818
unique_00819,H009,NKD,strategies/H009/unique_00819
unique_00820,H009,NKD,strategies/H009/unique_00820
unique_00821,H009,NKD,strategies/H009/unique_00821
unique_00822,H009,NKD,strategies/H009/unique_00822
unique_00823,H009,NKD,strategies/H009/unique_00823
unique_00824,H010,NKD,strategies/H010/unique_00824
unique_00825,H010,NKD,strategies/H010/unique_00825
unique_00826,H010,NKD,strategies/H010/unique_00826
unique_00827,H010,NKD,strategies/H010/unique_00827
unique_00828,H011,NKD,strategies/H011/unique_00828
unique_00829,H011,NKD,strategies/H011/unique_00829
